Source, Target, Type, Id, Weight
1, 1, Directed, 1, 1
2, 1, Directed, 2, 1
4, 1, Directed, 3, 1
9, 1, Directed, 4, 1
10, 1, Directed, 5, 1
11, 1, Directed, 6, 1
12, 1, Directed, 7, 1
15, 1, Directed, 8, 3
19, 1, Directed, 9, 3
24, 1, Directed, 10, 3
25, 1, Directed, 11, 3
26, 1, Directed, 12, 3
2, 2, Directed, 13, 1
14, 2, Directed, 14, 1
24, 2, Directed, 15, 3
3, 3, Directed, 16, 1
4, 3, Directed, 17, 1
7, 3, Directed, 18, 1
23, 3, Directed, 19, 3
25, 3, Directed, 20, 3
3, 4, Directed, 21, 1
4, 4, Directed, 22, 1
6, 4, Directed, 23, 1
7, 4, Directed, 24, 1
12, 4, Directed, 25, 1
14, 4, Directed, 26, 1
18, 4, Directed, 27, 3
5, 5, Directed, 28, 1
10, 5, Directed, 29, 1
11, 5, Directed, 30, 1
21, 5, Directed, 31, 3
5, 6, Directed, 32, 1
22, 6, Directed, 33, 3
23, 6, Directed, 34, 3
25, 6, Directed, 35, 3
3, 7, Directed, 36, 1
7, 7, Directed, 37, 1
13, 7, Directed, 38, 1
14, 7, Directed, 39, 1
17, 7, Directed, 40, 3
20, 7, Directed, 41, 3
25, 7, Directed, 42, 3
26, 7, Directed, 43, 3
5, 8, Directed, 44, 1
8, 8, Directed, 45, 1
9, 8, Directed, 46, 1
17, 8, Directed, 47, 3
21, 8, Directed, 48, 3
25, 8, Directed, 49, 3
1, 9, Directed, 50, 1
9, 9, Directed, 51, 1
10, 9, Directed, 52, 1
12, 9, Directed, 53, 1
14, 9, Directed, 54, 1
21, 9, Directed, 55, 3
22, 9, Directed, 56, 3
6, 10, Directed, 57, 1
11, 10, Directed, 58, 1
19, 10, Directed, 59, 3
21, 10, Directed, 60, 3
24, 10, Directed, 61, 3
5, 11, Directed, 62, 1
8, 11, Directed, 63, 1
9, 11, Directed, 64, 1
11, 11, Directed, 65, 1
16, 11, Directed, 66, 3
21, 11, Directed, 67, 3
22, 11, Directed, 68, 3
24, 11, Directed, 69, 3
2, 12, Directed, 70, 1
7, 12, Directed, 71, 1
8, 12, Directed, 72, 1
10, 12, Directed, 73, 1
13, 12, Directed, 74, 1
2, 13, Directed, 75, 1
7, 13, Directed, 76, 1
12, 13, Directed, 77, 1
13, 13, Directed, 78, 1
6, 14, Directed, 79, 1
11, 14, Directed, 80, 1
12, 14, Directed, 81, 1
14, 14, Directed, 82, 1
21, 14, Directed, 83, 3
26, 14, Directed, 84, 3
10, 15, Directed, 85, 2
15, 15, Directed, 86, 4
26, 15, Directed, 87, 4
15, 16, Directed, 88, 4
16, 16, Directed, 89, 4
19, 16, Directed, 90, 4
1, 17, Directed, 91, 2
3, 17, Directed, 92, 2
9, 17, Directed, 93, 2
13, 17, Directed, 94, 2
17, 17, Directed, 95, 4
23, 17, Directed, 96, 4
26, 17, Directed, 97, 4
7, 18, Directed, 98, 2
17, 18, Directed, 99, 4
18, 18, Directed, 100, 4
20, 18, Directed, 101, 4
1, 19, Directed, 102, 2
16, 19, Directed, 103, 4
17, 19, Directed, 104, 4
18, 19, Directed, 105, 4
19, 19, Directed, 106, 4
22, 19, Directed, 107, 4
24, 19, Directed, 108, 4
25, 19, Directed, 109, 4
26, 19, Directed, 110, 4
1, 20, Directed, 111, 2
12, 20, Directed, 112, 2
14, 20, Directed, 113, 2
20, 20, Directed, 114, 4
21, 20, Directed, 115, 4
23, 20, Directed, 116, 4
2, 21, Directed, 117, 2
9, 21, Directed, 118, 2
18, 21, Directed, 119, 4
21, 21, Directed, 120, 4
7, 22, Directed, 121, 2
12, 22, Directed, 122, 2
14, 22, Directed, 123, 2
19, 22, Directed, 124, 4
20, 22, Directed, 125, 4
22, 22, Directed, 126, 4
23, 22, Directed, 127, 4
1, 23, Directed, 128, 2
12, 23, Directed, 129, 2
17, 23, Directed, 130, 4
18, 23, Directed, 131, 4
24, 23, Directed, 132, 4
13, 24, Directed, 133, 2
14, 24, Directed, 134, 2
19, 24, Directed, 135, 4
23, 24, Directed, 136, 4
24, 24, Directed, 137, 4
26, 24, Directed, 138, 4
8, 25, Directed, 139, 2
13, 25, Directed, 140, 2
25, 25, Directed, 141, 4
4, 26, Directed, 142, 2
7, 26, Directed, 143, 2
19, 26, Directed, 144, 4
23, 26, Directed, 145, 4
24, 26, Directed, 146, 4
25, 26, Directed, 147, 4
26, 26, Directed, 148, 4
