Source, Target, Type, Id, Weight
7, 4, Undirected, 1, 1
9, 4, Undirected, 2, 1
1, 8, Undirected, 3, 1
1, 10, Undirected, 4, 1
6, 10, Undirected, 5, 1
7, 12, Undirected, 6, 1
7, 13, Undirected, 7, 1
12, 13, Undirected, 8, 1
22, 13, Undirected, 9, 3
25, 13, Undirected, 10, 3
2, 14, Undirected, 11, 1
7, 14, Undirected, 12, 1
9, 14, Undirected, 13, 1
3, 15, Undirected, 14, 2
10, 15, Undirected, 15, 2
12, 15, Undirected, 16, 2
20, 15, Undirected, 17, 4
8, 16, Undirected, 18, 2
9, 16, Undirected, 19, 2
8, 18, Undirected, 20, 2
25, 18, Undirected, 21, 4
3, 19, Undirected, 22, 2
8, 19, Undirected, 23, 2
12, 19, Undirected, 24, 2
24, 19, Undirected, 25, 4
25, 19, Undirected, 26, 4
1, 21, Undirected, 27, 2
3, 21, Undirected, 28, 2
11, 21, Undirected, 29, 2
7, 22, Undirected, 30, 2
8, 22, Undirected, 31, 2
4, 23, Undirected, 32, 2
7, 23, Undirected, 33, 2
20, 23, Undirected, 34, 4
2, 24, Undirected, 35, 2
25, 24, Undirected, 36, 4
3, 25, Undirected, 37, 2
2, 26, Undirected, 38, 2
24, 26, Undirected, 39, 4
25, 26, Undirected, 40, 4
